trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
floriade_2025_test_0_0,09:00,09:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_0,09:05,09:05,3052,1,F1,0,0,0
floriade_2025_test_0_0,09:10,09:10,3356,2,F1,0,0,0
floriade_2025_test_0_0,09:15,09:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_0,09:40,09:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_1,09:40,09:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_1,09:45,09:45,3052,1,F1,0,0,0
floriade_2025_test_0_1,09:50,09:50,3356,2,F1,0,0,0
floriade_2025_test_0_1,09:55,09:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_1,10:20,10:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_2,10:20,10:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_2,10:25,10:25,3052,1,F1,0,0,0
floriade_2025_test_0_2,10:30,10:30,3356,2,F1,0,0,0
floriade_2025_test_0_2,10:35,10:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_2,11:00,11:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_3,11:00,11:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_3,11:05,11:05,3052,1,F1,0,0,0
floriade_2025_test_0_3,11:10,11:10,3356,2,F1,0,0,0
floriade_2025_test_0_3,11:15,11:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_3,11:40,11:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_4,11:40,11:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_4,11:45,11:45,3052,1,F1,0,0,0
floriade_2025_test_0_4,11:50,11:50,3356,2,F1,0,0,0
floriade_2025_test_0_4,11:55,11:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_4,12:20,12:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_5,12:20,12:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_5,12:25,12:25,3052,1,F1,0,0,0
floriade_2025_test_0_5,12:30,12:30,3356,2,F1,0,0,0
floriade_2025_test_0_5,12:35,12:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_5,13:00,13:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_6,13:00,13:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_6,13:05,13:05,3052,1,F1,0,0,0
floriade_2025_test_0_6,13:10,13:10,3356,2,F1,0,0,0
floriade_2025_test_0_6,13:15,13:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_6,13:40,13:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_7,13:40,13:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_7,13:45,13:45,3052,1,F1,0,0,0
floriade_2025_test_0_7,13:50,13:50,3356,2,F1,0,0,0
floriade_2025_test_0_7,13:55,13:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_7,14:20,14:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_8,14:20,14:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_8,14:25,14:25,3052,1,F1,0,0,0
floriade_2025_test_0_8,14:30,14:30,3356,2,F1,0,0,0
floriade_2025_test_0_8,14:35,14:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_8,15:00,15:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_9,15:00,15:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_9,15:05,15:05,3052,1,F1,0,0,0
floriade_2025_test_0_9,15:10,15:10,3356,2,F1,0,0,0
floriade_2025_test_0_9,15:15,15:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_9,15:40,15:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_10,15:40,15:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_10,15:45,15:45,3052,1,F1,0,0,0
floriade_2025_test_0_10,15:50,15:50,3356,2,F1,0,0,0
floriade_2025_test_0_10,15:55,15:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_10,16:20,16:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_11,16:20,16:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_11,16:25,16:25,3052,1,F1,0,0,0
floriade_2025_test_0_11,16:30,16:30,3356,2,F1,0,0,0
floriade_2025_test_0_11,16:35,16:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_11,17:00,17:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_12,17:00,17:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_12,17:05,17:05,3052,1,F1,0,0,0
floriade_2025_test_0_12,17:10,17:10,3356,2,F1,0,0,0
floriade_2025_test_0_12,17:15,17:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_12,17:40,17:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_0_13,17:40,17:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_0_13,17:45,17:45,3052,1,F1,0,0,0
floriade_2025_test_0_13,17:50,17:50,3356,2,F1,0,0,0
floriade_2025_test_0_13,17:55,17:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_0_13,18:20,18:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_0,09:00,09:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_0,09:05,09:05,3052,1,F1,0,0,0
floriade_2025_test_1_0,09:10,09:10,3356,2,F1,0,0,0
floriade_2025_test_1_0,09:15,09:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_0,09:20,09:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_1,09:20,09:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_1,09:25,09:25,3052,1,F1,0,0,0
floriade_2025_test_1_1,09:30,09:30,3356,2,F1,0,0,0
floriade_2025_test_1_1,09:35,09:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_1,09:40,09:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_2,09:40,09:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_2,09:45,09:45,3052,1,F1,0,0,0
floriade_2025_test_1_2,09:50,09:50,3356,2,F1,0,0,0
floriade_2025_test_1_2,09:55,09:55,temp_floriade_regatta,3,F1,0,0,0
